,dateSold,price,bedrooms,bathrooms,livingArea,lotSize,yearBuilt,zipcode,latitude,longitude
148,10/30/2014,258000.0,5,2.0,2260,12500,1960,98032,47.3887,-122.286
149,11/4/2014,511000.0,3,1.0,1430,3455,1947,98103,47.6873,-122.336
150,8/20/2014,532170.0,3,2.0,1360,3090,1990,98103,47.6838,-122.353
151,4/9/2015,560000.0,3,1.0,1110,5000,1947,98107,47.655,-122.359
152,3/31/2015,282950.0,3,1.0,1250,8200,1954,98003,47.3255,-122.304
153,4/1/2015,2250000.0,4,3.25,5180,19850,2006,98006,47.562,-122.162
154,5/16/2014,350000.0,1,1.0,700,5100,1942,98115,47.679,-122.3
155,7/28/2014,215000.0,3,1.0,1180,7669,1967,98058,47.4479,-122.176
156,11/20/2014,650000.0,5,3.5,3960,25245,1996,98056,47.525,-122.172
157,8/7/2014,320000.0,4,2.75,2640,7500,1967,98023,47.3135,-122.369
158,11/13/2014,247000.0,3,2.0,1270,7198,1916,98022,47.2086,-121.996
159,10/3/2014,320000.0,4,1.75,1760,11180,1968,98059,47.4715,-122.118
160,5/7/2014,255000.0,5,2.25,2060,8632,1962,98146,47.4877,-122.335
161,3/9/2015,438000.0,3,1.75,1780,9660,1962,98034,47.7171,-122.193
162,3/4/2015,900000.0,3,2.5,3400,16603,2000,98075,47.6012,-122.023
163,6/20/2014,441000.0,3,2.75,1910,7280,1979,98034,47.7319,-122.224
164,8/12/2014,420000.0,3,2.0,2020,38332,1975,98027,47.4582,-122.023
165,12/8/2014,370000.0,3,1.75,1580,7000,1976,98034,47.7209,-122.168
166,2/19/2015,269950.0,2,1.75,1340,7250,1949,98198,47.408,-122.327
167,3/24/2015,807100.0,4,2.5,2680,4499,1999,98006,47.565,-122.125
168,6/5/2014,653000.0,3,2.5,2680,9750,1979,98034,47.7028,-122.231
169,6/11/2014,371500.0,3,2.0,1370,8336,1964,98133,47.7458,-122.331
170,3/16/2015,284000.0,3,1.75,1560,21000,1954,98166,47.4776,-122.337
171,1/2/2015,272000.0,3,1.75,2160,7140,1978,98023,47.3026,-122.374
172,5/2/2014,313000.0,3,1.5,1340,7912,1955,98133,47.7658,-122.339
173,1/16/2015,917500.0,4,2.5,3880,35003,1984,98033,47.6477,-122.182
174,9/29/2014,673000.0,4,2.25,2590,8190,1980,98006,47.5619,-122.125
175,2/10/2015,425000.0,3,2.5,1120,1100,2008,98122,47.6106,-122.31
176,7/9/2014,399950.0,5,2.75,1970,5400,1986,98144,47.5868,-122.308
177,5/30/2014,385000.0,3,1.0,1220,4800,1901,98122,47.6101,-122.307
178,11/17/2014,269950.0,3,1.5,1950,7560,1975,98022,47.1976,-121.999
179,1/7/2015,330000.0,2,1.0,1350,8220,1949,98177,47.7224,-122.358
180,7/25/2014,260000.0,3,2.5,1670,5797,1988,98030,47.3505,-122.179
181,4/14/2015,470000.0,4,3.0,2380,5125,1925,98126,47.5384,-122.376
182,6/13/2014,589000.0,4,3.0,2440,9600,1961,98034,47.7044,-122.2
183,7/23/2014,163500.0,2,1.5,1050,3419,1996,98038,47.3848,-122.039
184,9/5/2014,835000.0,4,2.75,3130,13412,1993,98052,47.6993,-122.102
185,11/21/2014,1100000.0,5,3.0,4090,12850,1986,98033,47.6627,-122.188
186,4/15/2015,269000.0,4,1.75,1490,10000,1969,98023,47.3099,-122.379
187,5/5/2014,560000.0,3,2.5,1900,8744,1987,98074,47.62,-122.043
188,4/18/2015,615000.0,4,1.0,1330,2400,1901,98103,47.65,-122.34
189,12/5/2014,585188.0,3,2.25,2230,10026,1975,98052,47.6647,-122.153
190,8/18/2014,305000.0,3,1.75,1650,9480,1977,98034,47.726,-122.191
191,11/5/2014,166950.0,3,1.0,1190,8820,1959,98058,47.4616,-122.184
192,9/12/2014,799000.0,3,2.5,2140,9897,1959,98040,47.5505,-122.219
193,6/25/2014,400000.0,3,2.5,2180,7508,1962,98133,47.7606,-122.336
194,12/1/2014,230000.0,3,1.0,1060,10228,1948,98155,47.7481,-122.3
195,5/15/2014,256883.0,3,2.5,1690,5025,2003,98023,47.2779,-122.347
196,11/11/2014,423000.0,4,2.0,1970,6480,1920,98108,47.5511,-122.312
197,7/23/2014,465000.0,3,2.5,2150,4084,2007,98126,47.5488,-122.372
198,1/13/2015,440000.0,3,2.5,1910,66211,1997,98024,47.5385,-121.911
199,10/14/2014,385000.0,3,1.75,1350,155073,1969,98038,47.4058,-121.994
200,3/11/2015,210000.0,3,1.0,860,11725,1943,98056,47.5093,-122.184
201,11/12/2014,297000.0,3,2.5,1940,14952,1994,98042,47.3777,-122.165
202,7/16/2014,470000.0,3,1.0,1010,5000,1952,98107,47.675,-122.394
203,8/4/2014,226500.0,3,1.5,1300,7370,1976,98023,47.3025,-122.37
204,3/3/2015,274250.0,3,1.0,910,8450,1962,98059,47.4787,-122.158
205,8/4/2014,840000.0,4,1.75,2480,11010,1966,98040,47.5378,-122.219
206,9/19/2014,677900.0,3,2.5,2440,4587,2010,98052,47.7073,-122.114
207,2/5/2015,425000.0,3,1.0,1010,5864,1915,98116,47.5733,-122.381
208,11/23/2014,180250.0,2,0.75,900,9600,1941,98166,47.4604,-122.339
209,7/17/2014,464000.0,6,3.0,2300,3404,1920,98133,47.7067,-122.343
210,4/22/2015,320000.0,4,2.25,1550,7579,1993,98038,47.354,-122.047
211,7/17/2014,625504.0,3,2.25,1270,1566,2014,98105,47.6647,-122.284
212,5/15/2014,592500.0,4,2.5,2240,12032,1983,98074,47.6143,-122.017
213,1/14/2015,465000.0,3,2.5,2714,17936,2005,98001,47.3185,-122.275
214,5/27/2014,477000.0,4,2.75,1720,6270,1978,98118,47.5458,-122.268
215,1/15/2015,280000.0,2,1.0,850,16400,1923,98168,47.4889,-122.299
216,2/21/2015,1510000.0,5,3.0,3300,33474,1957,98040,47.5673,-122.21
217,7/3/2014,445838.0,3,2.5,2250,5692,2000,98146,47.5133,-122.379
218,8/28/2014,1070000.0,2,2.25,3900,14864,1947,98144,47.5884,-122.291
219,10/23/2014,467000.0,2,1.5,1320,10800,1947,98177,47.7145,-122.367
220,8/22/2014,686000.0,4,2.5,2760,6440,1999,98075,47.5836,-122.026
221,6/5/2014,279950.0,3,2.0,1750,9750,1961,98198,47.398,-122.299
222,9/4/2014,527000.0,4,2.25,2330,19436,1987,98011,47.7663,-122.215
223,9/18/2014,325000.0,3,2.25,2220,16020,1966,98030,47.3758,-122.217
224,9/3/2014,328000.0,3,2.25,2020,8379,1994,98038,47.3828,-122.023
225,6/4/2014,390000.0,3,2.25,1250,7500,1942,98146,47.5123,-122.373
226,3/9/2015,479950.0,2,2.0,1510,6516,2005,98053,47.7076,-122.013
227,5/29/2014,264950.0,4,2.25,1720,9753,1978,98023,47.2922,-122.371
228,1/15/2015,235000.0,3,1.0,1430,15246,1961,98031,47.4075,-122.214
229,3/3/2015,516500.0,3,2.5,1480,4729,2004,98053,47.6794,-122.034
230,4/13/2015,655000.0,2,1.75,1450,15798,1915,98166,47.4497,-122.375
231,6/16/2014,500000.0,4,2.75,2280,15347,1960,98059,47.5218,-122.164
232,11/21/2014,315000.0,6,2.75,2940,7350,1978,98023,47.3103,-122.339
233,11/20/2014,213000.0,2,1.0,1000,10200,1961,98024,47.5687,-121.899
234,9/2/2014,475000.0,3,1.5,2480,5280,1947,98108,47.5575,-122.303
235,6/10/2014,1030000.0,5,4.0,3760,28040,1983,98033,47.6489,-122.183
236,4/9/2015,416000.0,3,2.0,2220,94300,1976,98010,47.3459,-121.95
237,3/20/2015,410000.0,4,1.0,1970,4740,1904,98122,47.6136,-122.303
238,7/1/2014,800000.0,3,3.5,3830,221284,1993,98077,47.7641,-122.023
239,5/29/2014,472000.0,6,2.5,4410,14034,1965,98003,47.3376,-122.324
240,12/8/2014,225000.0,3,1.75,1430,8505,1968,98003,47.3173,-122.319
241,10/1/2014,210000.0,2,1.0,830,6000,1940,98126,47.5308,-122.376
242,1/27/2015,455000.0,2,1.0,1430,5000,1925,98115,47.6727,-122.299
243,4/27/2015,225000.0,3,1.0,1300,8316,1954,98002,47.3221,-122.216
244,8/26/2014,480000.0,2,1.0,1030,3060,1918,98103,47.6779,-122.353
245,2/12/2015,363000.0,3,2.5,2740,11872,1990,98023,47.3076,-122.395
246,9/29/2014,2400000.0,4,2.5,3650,8354,2000,98074,47.6338,-122.072
247,2/26/2015,181000.0,2,1.5,720,5120,1954,98106,47.5218,-122.357
248,3/14/2015,250000.0,4,2.0,2010,7312,1976,98002,47.2785,-122.213
249,4/22/2015,481000.0,3,1.75,1560,3000,1918,98103,47.6846,-122.345
250,9/23/2014,260000.0,3,2.0,1810,7209,1978,98032,47.3656,-122.278
251,5/13/2014,455000.0,4,2.5,3360,7685,2001,98058,47.4369,-122.111
252,4/1/2015,415000.0,3,2.25,1510,36224,1991,98045,47.4616,-121.711
253,4/21/2015,349500.0,3,1.0,1400,3538,1953,98118,47.5405,-122.27
254,9/29/2014,245000.0,3,2.5,1730,7442,1987,98030,47.3507,-122.178
255,5/19/2014,592500.0,2,2.0,1420,9191,1928,98115,47.6979,-122.32
256,10/20/2014,385000.0,4,1.75,2360,7620,1955,98106,47.5278,-122.345
257,2/11/2015,315000.0,3,1.75,1580,11455,1974,98059,47.4756,-122.147
258,11/24/2014,255000.0,3,1.0,1230,10170,1979,98045,47.4437,-121.772
259,8/29/2014,693000.0,4,2.5,2460,4425,2006,98052,47.7048,-122.109
260,12/2/2014,780000.0,3,1.0,1660,4400,1911,98112,47.6362,-122.302
261,10/24/2014,237000.0,3,1.75,1270,8470,1960,98198,47.4207,-122.29
262,12/16/2014,525000.0,3,2.25,2100,40510,1979,98074,47.6154,-122.047
263,4/28/2015,425000.0,2,1.0,770,5040,1930,98144,47.5964,-122.299
264,10/27/2014,369900.0,1,0.75,760,10079,1936,98070,47.4683,-122.438
265,5/19/2014,290000.0,4,2.5,1700,7280,1988,98031,47.4045,-122.171
266,9/29/2014,285000.0,3,1.0,1120,10701,1954,98106,47.5544,-122.358
267,8/14/2014,415000.0,2,1.0,1070,4500,1937,98115,47.6802,-122.29
268,4/9/2015,272500.0,3,2.5,2070,9900,1979,98023,47.2988,-122.371
269,5/4/2015,2900000.0,4,3.25,5050,20100,1982,98004,47.6312,-122.223
270,10/7/2014,1370000.0,4,4.75,5310,57346,1989,98077,47.7285,-122.042
271,5/1/2015,436000.0,2,1.0,1040,7538,1939,98133,47.7107,-122.352
272,10/17/2014,210000.0,3,1.0,1700,11390,1967,98003,47.3271,-122.323
273,9/25/2014,236000.0,3,1.0,1300,5898,1961,98178,47.5053,-122.255
274,11/24/2014,331000.0,3,1.75,1080,1306,1954,98199,47.6601,-122.4
275,3/20/2015,365000.0,3,2.5,2653,4510,2006,98031,47.4145,-122.166
276,1/27/2015,450000.0,3,2.0,2290,16258,1960,98058,47.4672,-122.165
277,11/13/2014,770000.0,4,2.75,3820,26300,2014,98028,47.7618,-122.261
278,5/5/2015,455000.0,4,2.5,2210,49375,1997,98038,47.3828,-122.071
279,5/5/2015,405000.0,3,1.75,2390,6000,1908,98118,47.5362,-122.268
280,7/3/2014,304900.0,4,1.75,2600,11325,1969,98031,47.3954,-122.206
281,2/27/2015,170000.0,2,1.0,860,5265,1931,98178,47.5048,-122.272
282,5/13/2015,2050000.0,5,3.0,3830,8480,1905,98122,47.6166,-122.287
283,6/30/2014,780000.0,4,2.5,3500,7048,2005,98053,47.6811,-122.025
284,4/10/2015,330000.0,3,3.0,2420,13959,1988,98028,47.7486,-122.23
285,9/5/2014,370000.0,4,2.5,2720,8666,1992,98030,47.3846,-122.169
286,10/17/2014,467000.0,5,2.25,2500,13500,1979,98072,47.7564,-122.144
287,2/9/2015,405000.0,3,1.75,1670,6720,1980,98034,47.7198,-122.193
288,7/2/2014,675000.0,5,2.25,2900,10300,1985,98006,47.5461,-122.151
289,8/12/2014,500000.0,2,1.0,1640,14100,1954,98006,47.5712,-122.143
290,7/23/2014,389999.0,4,2.5,1890,15770,1968,98166,47.4281,-122.343
291,2/24/2015,630000.0,4,1.75,2950,9025,1975,98034,47.7128,-122.223
292,10/22/2014,360000.0,4,2.5,2160,9528,1992,98001,47.3341,-122.255
293,10/2/2014,580000.0,4,3.0,3280,11060,1986,98056,47.5399,-122.181
294,7/9/2014,550000.0,3,2.0,1970,4166,1929,98126,47.5717,-122.375
295,7/10/2014,879000.0,4,2.5,3360,22111,1994,98075,47.5951,-122.017
296,8/22/2014,265000.0,3,2.0,1320,8959,1993,98042,47.3536,-122.144
297,3/4/2015,446500.0,3,2.5,2650,7286,1990,98059,47.5084,-122.154
298,6/2/2014,404000.0,3,1.5,2030,8880,1963,98108,47.5586,-122.311
299,5/29/2014,267500.0,3,1.75,1590,11914,1957,98188,47.4427,-122.274
300,6/24/2014,3080000.0,4,5.0,4550,18641,2002,98074,47.6053,-122.077
301,8/11/2014,335000.0,3,2.5,2440,7632,1998,98003,47.3494,-122.301
302,6/19/2014,576000.0,3,2.5,1940,9000,1948,98117,47.6933,-122.393
303,4/1/2015,208633.0,3,2.5,2040,3810,2006,98038,47.3537,-122.0
304,1/15/2015,315000.0,3,2.25,2200,8750,1964,98166,47.476,-122.337
305,2/17/2015,725000.0,3,1.75,1920,3300,1913,98112,47.6239,-122.298
306,4/3/2015,550000.0,4,2.75,1800,7750,1965,98177,47.7776,-122.384
307,6/12/2014,610750.0,4,2.25,2180,7297,1984,98074,47.6459,-122.058
308,2/28/2015,550700.0,2,1.0,1010,5000,1908,98105,47.6692,-122.297
309,1/8/2015,665000.0,4,2.75,3320,10574,1960,98056,47.5376,-122.18
310,2/9/2015,834000.0,4,2.5,2370,4000,1928,98144,47.601,-122.294
311,10/23/2014,201000.0,5,1.75,1660,78408,1915,98065,47.529,-121.837
312,5/2/2014,2380000.0,5,2.5,3650,9050,1921,98119,47.6345,-122.367
313,6/18/2014,1380000.0,4,3.25,4290,12103,1997,98006,47.5503,-122.102
314,12/9/2014,1400000.0,4,3.25,4290,12103,1997,98006,47.5503,-122.102
315,11/5/2014,305000.0,4,2.25,1950,7700,1979,98058,47.4441,-122.125
316,4/8/2015,487000.0,3,2.0,2590,14052,1948,98133,47.7357,-122.333
317,5/11/2015,390000.0,3,2.5,1930,64904,1988,98042,47.346,-122.157
318,7/23/2014,548000.0,2,1.0,1470,3864,1916,98103,47.6638,-122.345
319,11/22/2014,268750.0,4,1.0,800,8775,1943,98166,47.48,-122.336
320,5/13/2014,819900.0,5,2.75,3150,7119,2013,98052,47.6759,-122.151
321,10/23/2014,520000.0,3,2.25,2030,16200,1984,98027,47.5162,-122.057
322,7/21/2014,230000.0,3,2.0,1450,11204,2003,98001,47.2639,-122.252
323,2/2/2015,240000.0,3,1.75,1510,10248,1969,98023,47.2929,-122.371
324,9/5/2014,232000.0,2,1.0,1240,12092,1922,98146,47.4957,-122.352
325,3/11/2015,240500.0,2,1.0,1240,12092,1922,98146,47.4957,-122.352
326,10/27/2014,274975.0,3,2.5,3030,45004,1987,98077,47.7721,-122.093
327,9/5/2014,740000.0,4,2.0,2050,4400,1922,98102,47.644,-122.319
328,4/28/2015,186375.0,3,1.0,1000,7636,1952,98166,47.472,-122.344
329,7/25/2014,790000.0,3,2.25,2370,10289,1977,98005,47.592,-122.166
330,9/16/2014,880000.0,4,3.5,2800,6750,1951,98105,47.669,-122.275
